event,seq,utc,detail
ACK,8424,2026-09-26T17:23:47.889Z,
ACK,8425,2026-09-26T17:23:47.988Z,
ACK,8426,2026-09-26T17:23:48.097Z,
ACK,8427,2026-09-26T17:23:48.191Z,
ACK,8428,2026-09-26T17:23:48.289Z,
ACK,8429,2026-09-26T17:23:48.434Z,
ACK,8430,2026-09-26T17:23:48.497Z,
ACK,8431,2026-09-26T17:23:48.592Z,
ACK,8432,2026-09-26T17:23:48.717Z,
ACK,8433,2026-09-26T17:23:48.796Z,
ACK,8434,2026-09-26T17:23:48.894Z,
ACK,8435,2026-09-26T17:23:48.993Z,
ACK,8436,2026-09-26T17:23:49.094Z,
ACK,8437,2026-09-26T17:23:49.199Z,
ACK,8438,2026-09-26T17:23:49.298Z,
ACK,8439,2026-09-26T17:23:49.393Z,
